entity_id,trip_id,vehicle_id,vehicle_label,route_id,route_short_name,route_long_name,direction_id,trip_headsign,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,arrival_time_local,arrival_delay_sec,departure_time_local,departure_delay_sec,scheduled_arrival_time,scheduled_departure_time,schedule_relationship,feed_header_timestamp_local
trip_update_AUTO10-01-1-260323-ab-1440,AUTO10-01-1-260323-ab-1440,67068,Autobuss 10,,,,,,,7749b,Abrenes iela,56.94607,24.13052,2026-04-01T14:35:00+03:00,,2026-04-01T14:35:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-01-1-260323-ab-1440,AUTO10-01-1-260323-ab-1440,67068,Autobuss 10,,,,,,,1025b,13.janvāra iela,56.94571,24.11373,2026-04-01T14:40:00+03:00,,2026-04-01T14:40:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-01-1-260323-ab-1440,AUTO10-01-1-260323-ab-1440,67068,Autobuss 10,,,,,,,1259,Nacionālā bibliotēka,56.94159,24.0981,2026-04-01T14:45:00+03:00,,2026-04-01T14:45:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-01-1-260323-ba-1320,AUTO10-01-1-260323-ba-1320,67068,Autobuss 10,,,,,,,1359,Telts iela,56.91845,24.08924,2026-04-01T13:58:17+03:00,,2026-04-01T13:58:17+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ab-1340,AUTO10-02-1-260323-ab-1340,67188,Autobuss 10,,,,,,,1361,Telts iela,56.91902,24.09121,2026-04-01T13:57:50+03:00,,2026-04-01T13:57:50+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ba-1430,AUTO10-02-1-260323-ba-1430,67188,Autobuss 10,,,,,,,4999,Mūzikas un mākslas skola,56.88218,23.93454,2026-04-01T14:34:00+03:00,,2026-04-01T14:34:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-ab1-1250,AUTO11-01-1-260323-ab1-1250,78463,Autobuss 11,,,,,,,0173,Jaunciema kapi,57.04154,24.18861,2026-04-01T13:47:00+03:00,,,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-b1a-1410,AUTO11-01-1-260323-b1a-1410,78463,Autobuss 11,,,,,,,0173,Jaunciema kapi,57.04154,24.18861,2026-04-01T14:07:00+03:00,,2026-04-01T14:07:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-b1a-1410,AUTO11-01-1-260323-b1a-1410,78463,Autobuss 11,,,,,,,0050,Viestura prospekts,56.99909,24.13215,2026-04-01T14:29:00+03:00,,2026-04-01T14:29:00+03:00,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-b1a-1410,AUTO11-01-1-260323-b1a-1410,78463,Autobuss 11,,,,,,,0416,Sarkandaugava,56.99487,24.12679,2026-04-01T14:32:00+03:00,,2026-04-01T14:32:00+03:00,,,,0,2026-04-01T13:56:21+03:00
