entity_id,vehicle_id,vehicle_label,trip_id,route_id,route_short_name,route_long_name,direction_id,trip_headsign,latitude,longitude,bearing,speed_mps,current_status,stop_id,stop_name,timestamp_local,feed_header_timestamp_local
vehicle_position_16316,16316,Trolejbuss 15,TROL15-13-1-260323-ba-1340,,,,,,56.915523529052734,24.185792922973633,32.0,8.329999923706055,2,0172,Jāņavārti,2026-04-01T13:51:57+03:00,2026-04-01T13:56:21+03:00
vehicle_position_16371,16371,Trolejbuss 15,TROL15-07-1-260323-ab-1350,,,,,,56.9482421875,24.118091583251953,150.0,5.28000020980835,2,0078,Centrāltirgus,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17507,17507,Trolejbuss 3,TROL3-08-1-260323-ab-1340,,,,,,56.97949981689453,24.136837005615234,204.0,0.2800000011920929,2,8005,Laktas iela,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17531,17531,Trolejbuss 15,TROL15-17-1-260323-ba-1400,,,,,,56.900230407714844,24.216655731201172,28.0,0.0,2,0300,Višķu iela/trol. galapunkts,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17551,17551,Trolejbuss 4,TROL4-11-1-260323-ab-1400,,,,,,56.97772979736328,24.255399703979492,12.0,0.0,2,0179,Jugla,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17562,17562,Trolejbuss 12,TROL12-03-1-260323-ab-1330,,,,,,56.95902633666992,24.126062393188477,42.0,10.0,2,2021,Matīsa iela,2026-04-01T13:55:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17573,17573,Trolejbuss 3,TROL3-02-1-260323-ab-1400,,,,,,56.94483184814453,24.12020492553711,156.0,0.0,2,0079,Centrālā stacija,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17584,17584,Trolejbuss 22,TROL22-03-1-260323-ba-1350,,,,,,56.93894577026367,24.20401954650879,12.0,1.940000057220459,2,5455,Brāļu Kaudzīšu iela,2026-04-01T13:56:01+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17616,17616,Trolejbuss 15,TROL15-01-1-260323-ab-1330,,,,,,56.91154479980469,24.1925048828125,144.0,2.2200000286102295,2,2088,Malnavas iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17627,17627,Trolejbuss 16,TROL16-05-1-260323-ba-1350,,,,,,56.977203369140625,24.186960220336914,150.0,10.0,2,2093,Linezers,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17638,17638,Trolejbuss 15,TROL15-19-1-260323-ba-1400,,,,,,56.899620056152344,24.21585464477539,48.0,0.0,2,0300,Višķu iela/trol. galapunkts,2026-04-01T13:56:03+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17649,17649,Trolejbuss 22,TROL22-02-1-260323-ba-1340,,,,,,56.953617095947266,24.147645950317383,270.0,0.8299999833106995,2,0244,Lienes iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17660,17660,Trolejbuss 16,TROL16-03-1-260323-ab-1350,,,,,,56.9461555480957,24.207012176513672,14.0,0.0,2,5343,A.Saharova iela,2026-04-01T13:56:02+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17671,17671,Trolejbuss 15,TROL15-05-1-260323-ab-1350,,,,,,56.9404182434082,24.1377010345459,84.0,1.3899999856948853,2,0276,Mazā Kalna iela,2026-04-01T13:56:02+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17682,17682,Trolejbuss 4,TROL4-20-1-260323-ba-1340,,,,,,56.932281494140625,24.119632720947266,44.0,9.720000267028809,2,1334,Zaķusala,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17693,17693,Trolejbuss 22,TROL22-06-1-260323-ab-1340,,,,,,56.9503173828125,24.176288604736328,110.0,1.1100000143051147,2,7990,Viršu iela,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17703,17703,Trolejbuss 4,TROL4-07-1-260323-ab-1330,,,,,,56.968719482421875,24.151958465576172,242.0,5.0,2,0220,K.Barona iela,2026-04-01T13:56:02+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17714,17714,Trolejbuss 16,TROL16-01-1-260323-ab-1330,,,,,,56.97594451904297,24.18870735168457,196.0,0.2800000011920929,2,2100,Aizkraukles iela,2026-04-01T13:56:12+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17736,17736,Trolejbuss 16,TROL16-04-1-260323-ba-1330,,,,,,56.94770431518555,24.196428298950195,102.0,7.21999979019165,2,5140,Ilūkstes iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17769,17769,Trolejbuss 22,TROL22-05-1-260323-ba-1400,,,,,,56.9304084777832,24.19733238220215,218.0,0.0,2,1602,Katlakalna iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17780,17780,Trolejbuss 3,TROL3-05-1-260323-ba-1340,,,,,,56.96433639526367,24.12696647644043,224.0,11.109999656677246,2,0066,Bruņinieku iela,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17791,17791,Trolejbuss 3,TROL3-03-1-260323-ba-1330,,,,,,56.94911193847656,24.117076873779297,146.0,3.3299999237060547,2,2017,Centrālā stacija,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17801,17801,Trolejbuss 15,TROL15-11-1-260323-ba-1330,,,,,,56.942283630371094,24.131515502929688,254.0,6.389999866485596,2,0149,Emīlijas Benjamiņas iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17812,17812,Trolejbuss 15,TROL15-09-1-260323-ba-1330,,,,,,56.94211959838867,24.126611709594727,278.0,1.940000057220459,2,0079,Centrālā stacija,2026-04-01T13:55:58+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17834,17834,Trolejbuss 3,TROL3-07-1-260323-ba-1350,,,,,,56.99416732788086,24.12470817565918,242.0,8.329999923706055,2,0106,Tilta iela,2026-04-01T13:56:03+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17845,17845,Trolejbuss 4,TROL4-13-1-260323-ba-1300,,,,,,56.98042297363281,24.24460220336914,120.0,0.0,2,0232,Kvēles iela,2026-04-01T13:56:02+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17878,17878,Trolejbuss 3,TROL3-01-1-260323-ab-1350,,,,,,56.95296096801758,24.11438751220703,312.0,8.890000343322754,2,0259,Mākslas muzejs,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17889,17889,Trolejbuss 22,TROL22-01-1-260323-ab-1400,,,,,,56.94965744018555,24.131132125854492,74.0,10.279999732971191,2,2076,Avotu iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17891,17891,Trolejbuss 15,TROL15-15-1-260323-ba-1350,,,,,,56.91191482543945,24.19207191467285,324.0,1.940000057220459,2,2084,Malnavas iela,2026-04-01T13:56:02+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17901,17901,Trolejbuss 15,TROL15-03-1-260323-ab-1340,,,,,,56.92772674560547,24.17398452758789,146.0,10.829999923706055,2,0199,"""Kuzņecovs""",2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_17998,17998,Trolejbuss 3,TROL3-10-1-260323-ab1-1340,,,,,,56.96013259887695,24.120222091674805,310.0,0.5600000023841858,2,0067,Bruņinieku iela,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_19454,19454,Trolejbuss 13,TROL13-01-1-260323-ba-1340,,,,,,56.96379852294922,24.150489807128906,146.0,5.829999923706055,2,5292,A.Čaka iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_19476,19476,Trolejbuss 5,TROL5-02-1-260323-ba-1350,,,,,,56.94270706176758,24.070404052734375,54.0,11.9399995803833,2,2037,Kapseļu iela,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
