entity_id,trip_id,vehicle_id,vehicle_label,route_id,route_short_name,route_long_name,direction_id,trip_headsign,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,arrival_time_local,arrival_delay_sec,departure_time_local,departure_delay_sec,scheduled_arrival_time,scheduled_departure_time,schedule_relationship,feed_header_timestamp_local
trip_update_AUTO10-01-1-260323-ab-1440,AUTO10-01-1-260323-ab-1440,67068,Autobuss 10,,,,,,,7749b,Abrenes iela,56.94607,24.13052,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-01-1-260323-ba-1320,AUTO10-01-1-260323-ba-1320,67068,Autobuss 10,,,,,,,1359,Telts iela,56.91845,24.08924,,,,16.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ab-1340,AUTO10-02-1-260323-ab-1340,67188,Autobuss 10,,,,,,,1361,Telts iela,56.91902,24.09121,,,,-10.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ba-1430,AUTO10-02-1-260323-ba-1430,67188,Autobuss 10,,,,,,,4999,Mūzikas un mākslas skola,56.88218,23.93454,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-ab1-1250,AUTO11-01-1-260323-ab1-1250,78463,Autobuss 11,,,,,,,0173,Jaunciema kapi,57.04154,24.18861,,0.0,,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-b1a-1410,AUTO11-01-1-260323-b1a-1410,78463,Autobuss 11,,,,,,,0173,Jaunciema kapi,57.04154,24.18861,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-02-1-260323-ab-1330,AUTO11-02-1-260323-ab-1330,78158,Autobuss 11,,,,,,,2130,Meža prospekts,56.99604,24.13189,,,,70.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-02-1-260323-ba-1440,AUTO11-02-1-260323-ba-1440,78158,Autobuss 11,,,,,,,8004,Suži,57.01883,24.20816,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-03-1-260323-ab1-1410,AUTO11-03-1-260323-ab1-1410,78800,Autobuss 11,,,,,,,7749a,Abrenes iela,56.94608,24.1302,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-04-1-260323-ab-1440,AUTO11-04-1-260323-ab-1440,76723,Autobuss 11,,,,,,,7749a,Abrenes iela,56.94608,24.1302,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO11-04-1-260323-ba-1330,AUTO11-04-1-260323-ba-1330,76723,Autobuss 11,,,,,,,0050,Viestura prospekts,56.99909,24.13215,,,,-4.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-01-1-260323-ab-1340,AUTO12-01-1-260323-ab-1340,79229,Autobuss 12,,,,,,,0162,"Atpūtas centrs ""Lido""",56.92439,24.16254,,,,119.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-01-1-260323-ab-1450,AUTO12-01-1-260323-ab-1450,79229,Autobuss 12,,,,,,,7749,Abrenes iela,56.9461,24.12994,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-01-1-260323-ba-1410,AUTO12-01-1-260323-ba-1410,79229,Autobuss 12,,,,,,,1321,Ziedonis,56.89763,24.17328,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-03-1-260323-ab-1420,AUTO12-03-1-260323-ab-1420,78485,Autobuss 12,,,,,,,7749,Abrenes iela,56.9461,24.12994,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-03-1-260323-ba-1340,AUTO12-03-1-260323-ba-1340,78485,Autobuss 12,,,,,,,0079,Centrālā stacija,56.94607,24.1187,,,,-30.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO12-03-1-260323-ba-1450,AUTO12-03-1-260323-ba-1450,78485,Autobuss 12,,,,,,,1321,Ziedonis,56.89763,24.17328,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-01-1-260323-ba-1350,AUTO13-01-1-260323-ba-1350,68422,Autobuss 13,,,,,,,0160,Ilūkstes iela,56.9317,24.19401,,,,50.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-02-1-260323-ab-1240,AUTO13-02-1-260323-ab-1240,69592,Autobuss 13,,,,,,,0093,Cesvaines iela,56.93011,24.21178,,,,113.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-02-1-260323-ba-1420,AUTO13-02-1-260323-ba-1420,69592,Autobuss 13,,,,,,,0368,Preču - 2,56.9225,24.21707,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-03-1-260323-ab-1310,AUTO13-03-1-260323-ab-1310,68368,Autobuss 13,,,,,,,0060,Brīvības bulvāris,56.95215,24.11314,,,,316.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-03-1-260323-ba-1450,AUTO13-03-1-260323-ba-1450,68368,Autobuss 13,,,,,,,0368,Preču - 2,56.9225,24.21707,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-04-1-260323-ab-1350,AUTO13-04-1-260323-ab-1350,79774,Autobuss 13,,,,,,,1666,Liepezers,56.98439,24.00135,,,,37.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-06-1-260323-ab-1500,AUTO13-06-1-260323-ab-1500,79044,Autobuss 13,,,,,,,1549,Babītes stacija,56.95822,23.95345,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-06-1-260323-ba-1310,AUTO13-06-1-260323-ba-1310,79044,Autobuss 13,,,,,,,0610,Nacionālais teātris,56.95377,24.10646,,,,246.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-07-1-260323-ab-1420,AUTO13-07-1-260323-ab-1420,74875,Autobuss 13,,,,,,,1549,Babītes stacija,56.95822,23.95345,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO13-07-1-260323-ba-1240,AUTO13-07-1-260323-ba-1240,74875,Autobuss 13,,,,,,,1550,Rododendru audzētava,56.95976,23.95258,,,,3.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-01-1-260323-ab-1340,AUTO15-01-1-260323-ab-1340,79861,Autobuss 15,,,,,,,0515,Višķu iela,56.89632,24.21241,,,,-34.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-02-1-260323-ab-1400,AUTO15-02-1-260323-ab-1400,79251,Autobuss 15,,,,,,,0541,Dārziņu 46.līnija,56.85995,24.29125,,,,63.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-03-1-260323-ab-1430,AUTO15-03-1-260323-ab-1430,75543,Autobuss 15,,,,,,,0094,Dārziņi,56.85944,24.29716,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-03-1-260323-ba-1300,AUTO15-03-1-260323-ba-1300,75543,Autobuss 15,,,,,,,0229,Eglaines iela/Dole,56.90472,24.19117,,,,240.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-04-1-260323-ab-1450,AUTO15-04-1-260323-ab-1450,74799,Autobuss 15,,,,,,,0094,Dārziņi,56.85944,24.29716,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-04-1-260323-ba-1320,AUTO15-04-1-260323-ba-1320,74799,Autobuss 15,,,,,,,0394,Rudens iela,56.93786,24.20314,,,,131.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-06-1-260323-ba-1340,AUTO15-06-1-260323-ba-1340,78768,Autobuss 15,,,,,,,2058,64.vidusskola,56.95901,24.18499,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-08-1-260323-ba-1410,AUTO15-08-1-260323-ba-1410,75663,Autobuss 15,,,,,,,0179,Jugla,56.97772,24.25484,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-10-1-260323-ab-1310,AUTO15-10-1-260323-ab-1310,78125,Autobuss 15,,,,,,,0279,Mēbeļu nams,56.95668,24.19113,,,,130.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO15-10-1-260323-ba-1430,AUTO15-10-1-260323-ba-1430,78125,Autobuss 15,,,,,,,0179,Jugla,56.97772,24.25484,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO16-01-1-260323-ab-1300,AUTO16-01-1-260323-ab-1300,76832,Autobuss 16,,,,,,,1517,Sunīši,56.97193,24.37665,,0.0,,,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO16-01-1-260323-ba-1410,AUTO16-01-1-260323-ba-1410,76832,Autobuss 16,,,,,,,1517,Sunīši,56.97193,24.37665,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO16-02-1-260323-ab-1400,AUTO16-02-1-260323-ab-1400,78615,Autobuss 16,,,,,,,0079,Centrālā stacija,56.94607,24.1187,,,,35.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO16-04-1-260323-ac3b-1430,AUTO16-04-1-260323-ac3b-1430,79164,Autobuss 16,,,,,,,7749,Abrenes iela,56.9461,24.12994,,,,0.0,,,0,2026-04-01T13:56:21+03:00
trip_update_AUTO16-04-1-260323-ba-1330,AUTO16-04-1-260323-ba-1330,79164,Autobuss 16,,,,,,,0465,Tālivalža iela,56.97075,24.17786,,,,176.0,,,0,2026-04-01T13:56:21+03:00
