entity_id,trip_id,route_id,route_short_name,route_long_name,start_date,start_time,direction_id,trip_headsign,shape_id,schedule_relationship,vehicle_id,vehicle_label,trip_update_timestamp_local,feed_header_timestamp_local
trip_update_AUTO10-01-1-260323-ab-1440,AUTO10-01-1-260323-ab-1440,,,,,,,,,0,67068,Autobuss 10,2026-04-01T13:56:03+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO10-01-1-260323-ba-1320,AUTO10-01-1-260323-ba-1320,,,,,,,,,0,67068,Autobuss 10,2026-04-01T13:56:03+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ab-1340,AUTO10-02-1-260323-ab-1340,,,,,,,,,0,67188,Autobuss 10,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO10-02-1-260323-ba-1430,AUTO10-02-1-260323-ba-1430,,,,,,,,,0,67188,Autobuss 10,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-ab1-1250,AUTO11-01-1-260323-ab1-1250,,,,,,,,,0,78463,Autobuss 11,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-01-1-260323-b1a-1410,AUTO11-01-1-260323-b1a-1410,,,,,,,,,0,78463,Autobuss 11,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-02-1-260323-ab-1330,AUTO11-02-1-260323-ab-1330,,,,,,,,,0,78158,Autobuss 11,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-02-1-260323-ba-1440,AUTO11-02-1-260323-ba-1440,,,,,,,,,0,78158,Autobuss 11,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-03-1-260323-ab1-1410,AUTO11-03-1-260323-ab1-1410,,,,,,,,,0,78800,Autobuss 11,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-04-1-260323-ab-1440,AUTO11-04-1-260323-ab-1440,,,,,,,,,0,76723,Autobuss 11,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
trip_update_AUTO11-04-1-260323-ba-1330,AUTO11-04-1-260323-ba-1330,,,,,,,,,0,76723,Autobuss 11,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
